price_in_rp,city,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,garages,floors,rasio_tanah_bangunan,total_ruangan,city_encoded
3000000000.0, Bekasi,4.0,5.0,160.0,280.0,0.0,0.0,2.0,0.5714285714285714,9.0,0
1600000000.0, Bekasi,3.0,2.0,120.0,260.0,0.0,0.0,2.0,0.46153846153846156,5.0,0
1800000000.0, Bekasi,3.0,2.0,144.0,120.0,0.0,0.0,1.0,1.2,5.0,0
2700000000.0, Bekasi,3.0,3.0,270.0,175.0,2.0,0.0,2.0,1.542857142857143,6.0,0
1400000000.0, Bekasi,2.0,2.0,108.0,69.0,1.0,0.0,2.0,1.565217391304348,4.0,0
970000000.0, Bekasi,3.0,2.0,53.0,63.0,1.0,0.0,2.0,0.8412698412698413,5.0,0
575000000.0, Bekasi,2.0,1.0,60.0,55.0,1.0,1.0,2.0,1.0909090909090908,3.0,0
900000000.0, Bekasi,3.0,2.0,72.0,69.0,1.0,1.0,2.0,1.0434782608695652,5.0,0
1250000000.0, Bekasi,3.0,3.0,60.0,110.0,2.0,0.0,3.0,0.5454545454545454,6.0,0
525000000.0, Bekasi,3.0,1.0,72.0,42.0,1.0,1.0,1.0,1.7142857142857142,4.0,0
510000000.0, Bekasi,2.0,1.0,70.0,38.0,1.0,1.0,1.0,1.8421052631578947,3.0,0
895000000.0, Bekasi,2.0,2.0,92.0,120.0,1.0,0.0,2.0,0.7666666666666667,4.0,0
2500000000.0, Bekasi,4.0,3.0,135.0,110.0,2.0,0.0,2.0,1.2272727272727273,7.0,0
1650000000.0, Bekasi,4.0,3.0,165.0,180.0,2.0,2.0,2.0,0.9166666666666666,7.0,0
690000000.0, Bekasi,1.0,1.0,94.0,75.0,1.0,1.0,1.0,1.2533333333333334,2.0,0
750000000.0, Bekasi,2.0,1.0,78.0,54.0,1.0,0.0,1.0,1.4444444444444444,3.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,2.0,0.0,2.0,0.9397590361445783,6.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,2.0,0.0,2.0,0.9397590361445783,6.0,0
42000000.0, Bekasi,2.0,2.0,60.0,40.0,1.0,0.0,1.0,1.5,4.0,0
1400000000.0, Bekasi,3.0,3.0,77.0,150.0,1.0,0.0,3.0,0.5133333333333333,6.0,0
500000000.0, Bekasi,2.0,2.0,60.0,48.0,1.0,1.0,2.0,1.25,4.0,0
342000000.0, Bekasi,2.0,1.0,66.0,63.0,1.0,2.0,1.0,1.0476190476190477,3.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,2.0,0.0,2.0,0.9397590361445783,6.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,2.0,0.0,2.0,0.9397590361445783,6.0,0
500000000.0, Bekasi,2.0,2.0,60.0,48.0,1.0,1.0,1.0,1.25,4.0,0
1150000000.0, Bekasi,2.0,1.0,90.0,70.0,1.0,0.0,1.0,1.2857142857142858,3.0,0
599000000.0, Bekasi,2.0,1.0,72.0,60.0,1.0,1.0,1.0,1.2,3.0,0
1680000000.0, Bekasi,3.0,2.0,200.0,90.0,1.0,1.0,1.0,2.2222222222222223,5.0,0
1560000000.0, Bekasi,3.0,3.0,121.0,105.0,2.0,2.0,2.0,1.1523809523809523,6.0,0
1180000000.0, Bekasi,3.0,3.0,84.0,77.0,2.0,0.0,2.0,1.0909090909090908,6.0,0
1180000000.0, Bekasi,3.0,2.0,84.0,77.0,2.0,0.0,2.0,1.0909090909090908,5.0,0
990000000.0, Bekasi,3.0,2.0,95.0,60.0,2.0,0.0,2.0,1.5833333333333333,5.0,0
800000000.0, Bekasi,3.0,2.0,84.0,91.0,1.0,0.0,2.0,0.9230769230769231,5.0,0
718000000.0, Bekasi,2.0,1.0,72.0,40.0,2.0,1.0,1.0,1.8,3.0,0
1390000000.0, Bekasi,3.0,2.0,60.0,64.0,1.0,0.0,2.0,0.9375,5.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,2.0,0.0,2.0,0.9397590361445783,6.0,0
1200000000.0, Bekasi,4.0,3.0,86.0,115.0,1.0,0.0,2.0,0.7478260869565218,7.0,0
1310000000.0, Bekasi,3.0,3.0,86.0,115.0,1.0,1.0,2.0,0.7478260869565218,6.0,0
680000000.0, Bekasi,2.0,1.0,72.0,36.0,1.0,0.0,1.0,2.0,3.0,0
680000000.0, Bekasi,2.0,1.0,72.0,36.0,0.0,1.0,1.0,2.0,3.0,0
1200000000.0, Bekasi,3.0,2.0,165.0,90.0,0.0,1.0,1.0,1.8333333333333333,5.0,0
680000000.0, Bekasi,2.0,1.0,72.0,36.0,0.0,1.0,1.0,2.0,3.0,0
680000000.0, Bekasi,2.0,1.0,72.0,36.0,0.0,1.0,1.0,2.0,3.0,0
1200000000.0, Bekasi,3.0,2.0,165.0,90.0,0.0,1.0,1.0,1.8333333333333333,5.0,0
680000000.0, Bekasi,2.0,1.0,72.0,36.0,1.0,1.0,1.0,2.0,3.0,0
1200000000.0, Bekasi,3.0,2.0,165.0,90.0,1.0,1.0,1.0,1.8333333333333333,5.0,0
390000000.0, Bekasi,2.0,1.0,60.0,36.0,1.0,1.0,1.0,1.6666666666666667,3.0,0
455000000.0, Bekasi,2.0,1.0,70.0,41.0,1.0,0.0,1.0,1.7073170731707317,3.0,0
1010000000.0, Bekasi,3.0,2.0,125.0,65.0,1.0,0.0,2.0,1.9230769230769231,5.0,0
690000000.0, Bekasi,2.0,1.0,96.0,48.0,1.0,0.0,1.0,2.0,3.0,0
988000000.0, Bekasi,3.0,2.0,72.0,60.0,1.0,1.0,2.0,1.2,5.0,0
465000000.0, Bekasi,2.0,1.0,60.0,55.0,1.0,1.0,1.0,1.0909090909090908,3.0,0
480000000.0, Bekasi,2.0,2.0,60.0,55.0,1.0,1.0,2.0,1.0909090909090908,4.0,0
625000000.0, Bekasi,2.0,1.0,72.0,48.0,1.0,0.0,1.0,1.5,3.0,0
3000000000.0, Bekasi,4.0,4.0,210.0,310.0,1.0,0.0,2.0,0.6774193548387096,8.0,0
1180000000.0, Bekasi,3.0,2.0,84.0,77.0,0.0,0.0,2.0,1.0909090909090908,5.0,0
1080000000.0, Bekasi,2.0,2.0,105.0,90.0,0.0,1.0,2.0,1.1666666666666667,4.0,0
1050000000.0, Bekasi,2.0,1.0,90.0,70.0,1.0,1.0,1.0,1.2857142857142858,3.0,0
1080000000.0, Bekasi,2.0,2.0,105.0,90.0,1.0,0.0,2.0,1.1666666666666667,4.0,0
1150000000.0, Bekasi,2.0,1.0,90.0,70.0,1.0,0.0,1.0,1.2857142857142858,3.0,0
1080000000.0, Bekasi,2.0,2.0,105.0,90.0,1.0,1.0,2.0,1.1666666666666667,4.0,0
1080000000.0, Bekasi,2.0,2.0,105.0,90.0,0.0,1.0,2.0,1.1666666666666667,4.0,0
1150000000.0, Bekasi,2.0,1.0,90.0,70.0,1.0,0.0,1.0,1.2857142857142858,3.0,0
1150000000.0, Bekasi,2.0,1.0,90.0,70.0,1.0,0.0,1.0,1.2857142857142858,3.0,0
1150000000.0, Bekasi,2.0,1.0,90.0,70.0,1.0,0.0,1.0,1.2857142857142858,3.0,0
1210000000.0, Bekasi,3.0,3.0,84.0,77.0,1.0,0.0,1.0,1.0909090909090908,6.0,0
1180000000.0, Bekasi,3.0,3.0,84.0,77.0,1.0,0.0,2.0,1.0909090909090908,6.0,0
1150000000.0, Bekasi,2.0,1.0,90.0,70.0,2.0,0.0,1.0,1.2857142857142858,3.0,0
1180000000.0, Bekasi,3.0,3.0,84.0,77.0,2.0,0.0,2.0,1.0909090909090908,6.0,0
968000000.0, Bekasi,2.0,1.0,89.0,52.0,1.0,0.0,1.0,1.7115384615384615,3.0,0
1650000000.0, Bekasi,4.0,3.0,165.0,180.0,2.0,2.0,2.0,0.9166666666666666,7.0,0
1180000000.0, Bekasi,3.0,3.0,84.0,77.0,2.0,0.0,2.0,1.0909090909090908,6.0,0
720000000.0, Bekasi,2.0,1.0,80.0,55.0,1.0,0.0,1.0,1.4545454545454546,3.0,0
1300000000.0, Bekasi,4.0,3.0,84.0,105.0,2.0,1.0,2.0,0.8,7.0,0
1190000000.0, Bekasi,3.0,2.0,101.0,84.0,1.0,0.0,2.0,1.2023809523809523,5.0,0
1180000000.0, Bekasi,3.0,2.0,84.0,77.0,1.0,1.0,2.0,1.0909090909090908,5.0,0
1300000000.0, Bekasi,3.0,3.0,87.0,77.0,1.0,0.0,2.0,1.12987012987013,6.0,0
600000000.0, Bekasi,2.0,1.0,80.0,55.0,1.0,1.0,1.0,1.4545454545454546,3.0,0
500000000.0, Bekasi,2.0,1.0,70.0,45.0,0.0,0.0,1.0,1.5555555555555556,3.0,0
1100000000.0, Bekasi,3.0,3.0,82.0,72.0,0.0,0.0,2.0,1.1388888888888888,6.0,0
1280000000.0, Bekasi,3.0,3.0,92.0,130.0,1.0,1.0,2.0,0.7076923076923077,6.0,0
3700000000.0, Bekasi,3.0,4.0,216.0,300.0,3.0,2.0,3.0,0.72,7.0,0
1070000000.0, Bekasi,4.0,2.0,95.0,88.0,1.0,1.0,1.0,1.0795454545454546,6.0,0
476000000.0, Bekasi,2.0,1.0,52.0,36.0,1.0,0.0,1.0,1.4444444444444444,3.0,0
968000000.0, Bekasi,3.0,3.0,70.0,120.0,2.0,2.0,2.0,0.5833333333333334,6.0,0
884000000.0, Bekasi,3.0,2.0,70.0,65.0,1.0,1.0,1.0,1.0769230769230769,5.0,0
1180000000.0, Bekasi,4.0,3.0,95.0,140.0,2.0,2.0,2.0,0.6785714285714286,7.0,0
4040000000.0, Bekasi,5.0,4.0,183.0,136.0,2.0,0.0,2.0,1.3455882352941178,9.0,0
1100000000.0, Bekasi,3.0,3.0,180.0,172.0,1.0,1.0,1.0,1.0465116279069768,6.0,0
2250000000.0, Bekasi,3.0,2.0,175.0,250.0,1.0,1.0,2.0,0.7,5.0,0
1800000000.0, Bekasi,3.0,2.0,115.0,113.0,1.0,1.0,1.0,1.0176991150442478,5.0,0
800000000.0, Bekasi,2.0,1.0,97.0,76.0,0.0,0.0,1.0,1.2763157894736843,3.0,0
920000000.0, Bekasi,3.0,2.0,70.0,85.0,2.0,0.0,2.0,0.8235294117647058,5.0,0
1970000000.0, Bekasi,4.0,4.0,91.0,165.0,2.0,0.0,3.0,0.5515151515151515,8.0,0
1990000000.0, Bekasi,3.0,3.0,178.0,110.0,0.0,0.0,1.0,1.6181818181818182,6.0,0
3950000000.0, Bekasi,4.0,2.0,760.0,350.0,0.0,0.0,1.0,2.1714285714285713,6.0,0
1250000000.0, Bekasi,4.0,3.0,154.0,150.0,1.0,0.0,1.0,1.0266666666666666,7.0,0
5300000000.0, Bekasi,6.0,4.0,707.0,338.0,2.0,1.0,2.0,2.091715976331361,10.0,0
1110000000.0, Bekasi,3.0,3.0,75.0,80.0,2.0,0.0,2.0,0.9375,6.0,0
